time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-19T01:02:45.215Z,57.5382,-154.267,35.9,2.8,ml,,,,0.45,ak,ak021dexjaoq,2021-10-19T02:23:24.040Z,"11 km ESE of Karluk, Alaska",earthquake,,2.5,,,automatic,ak,ak
2021-10-19T00:37:34.951Z,-3.6558,134.724,37.59,4.7,mb,,75,2.577,0.96,us,us6000fvs0,2021-10-19T01:02:34.040Z,"92 km WSW of Nabire, Indonesia",earthquake,9.1,7.2,0.085,42,reviewed,us,us
2021-10-19T00:16:23.087Z,-15.9984,-174.7998,264.63,4.3,mb,,177,3.58,0.37,us,us6000fvrv,2021-10-19T00:40:03.040Z,"107 km W of Hihifo, Tonga",earthquake,10.9,9.6,0.142,14,reviewed,us,us
2021-10-19T00:03:33.825Z,-31.6184,-72.0514,22.5,4.6,mb,,151,0.989,0.94,us,us6000fvrs,2021-10-19T01:29:39.184Z,"83 km W of Illapel, Chile",earthquake,2.9,5,0.114,23,reviewed,us,us
2021-10-18T23:58:07.930Z,18.224,-66.8398,12,3.24,md,25,79,0.1497,0.24,pr,pr2021291010,2021-10-19T04:26:31.270Z,"8 km SSE of Lares, Puerto Rico",earthquake,0.29,0.7,0.14,22,reviewed,pr,pr
2021-10-18T22:31:01.945Z,15.195,-92.4522,97.57,4.2,mb,,158,1.122,0.95,us,us6000fvrc,2021-10-19T04:05:05.040Z,"6 km NNW of Tuzantán, Mexico",earthquake,8.4,7.5,0.066,65,reviewed,us,us
2021-10-18T22:23:37.780Z,-45.6017,-76.9743,10,5.1,mww,,137,3.435,0.56,us,us6000fvra,2021-10-19T01:20:36.448Z,"Off the coast of Aisen, Chile",earthquake,7.6,1.6,0.089,12,reviewed,us,us
2021-10-18T22:11:35.680Z,19.2268333435059,-155.406494140625,33.4000015258789,2.45,ml,48,140,,0.170000002,hv,hv72761562,2021-10-18T23:20:19.040Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.56,0.709999979,3.53,27,automatic,hv,hv
2021-10-18T22:00:00.930Z,40.4679985,-124.8710022,25.9,2.59,md,8,325,0.4712,0.19,nc,nc73641310,2021-10-19T00:36:12.127Z,"52km WNW of Petrolia, CA",earthquake,14.28,11.58,0.16,3,automatic,nc,nc
2021-10-18T21:59:42.142Z,40.7927,-126.2415,10,3.2,ml,,276,1.563,0.57,us,us6000fvr2,2021-10-18T23:11:12.040Z,"168 km W of Ferndale, California",earthquake,4.2,2,0.045,64,reviewed,us,us
2021-10-18T21:08:24.182Z,14.6042,-93.6789,37.51,4.2,mb,,192,2.234,0.84,us,us6000fvqs,2021-10-18T22:46:20.040Z,"108 km SSW of La Esperanza (El Zapotal), Mexico",earthquake,5.1,12.1,0.075,50,reviewed,us,us
2021-10-18T20:56:25.330Z,18.7206,-67.3548,17,3.23,md,17,188,0.3513,0.42,pr,pr2021291008,2021-10-18T21:16:03.986Z,"37 km NW of San Antonio, Puerto Rico",earthquake,1.34,1.69,0.17,13,reviewed,pr,pr
2021-10-18T20:40:39.570Z,37.2874985,-120.0315018,25.39,2.73,md,8,72,0.119,0.08,nc,nc73641270,2021-10-19T00:29:39.269Z,"20km ENE of Le Grand, CA",earthquake,0.6,0.99,0.2,11,automatic,nc,nc
2021-10-18T18:57:38.704Z,59.8447,-152.8363,97.6,2.5,ml,,,,0.53,ak,ak021ddkg3ck,2021-10-18T19:58:41.040Z,"56 km W of Anchor Point, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-18T18:32:15.868Z,-45.6903,-77.0614,10,4.7,mb,,143,3.462,0.84,us,us6000fvpq,2021-10-18T19:23:23.040Z,"Off the coast of Aisen, Chile",earthquake,6.3,1.9,0.113,31,reviewed,us,us
2021-10-18T18:12:52.790Z,19.2145,-155.405,32.84,2.9,ml,55,149,,0.12,hv,hv72761362,2021-10-18T19:46:37.040Z,"7 km E of Pāhala, Hawaii",earthquake,0.42,0.49,0.160303242306528,38,reviewed,hv,hv
2021-10-18T18:10:22.413Z,16.0989,-98.308,10,4.3,mb,,235,1.476,1.13,us,us6000fvpt,2021-10-18T21:35:37.332Z,"19 km SW of Corralero, Mexico",earthquake,8.3,2,0.074,52,reviewed,us,us
2021-10-18T16:18:55.301Z,-5.5031,147.0667,206.36,4.3,mb,,62,3.449,0.36,us,us6000fvmy,2021-10-18T16:40:42.040Z,"135 km N of Lae, Papua New Guinea",earthquake,10.5,8.2,0.107,25,reviewed,us,us
